17.4,7.14
17.4,8.98
17.4,8.64
17.4,6.94
17.4,8.68
17.4,7.02
17.4,8.52
17.4,8.7
17.4,7.26
17.4,8.72
17.4,8.64
17.84,9.14
18.28,8.12
16.91,7.62
16.47,8.66
17.4,9.16
17.84,9.68
18.27,8.16
16.47,7.64
17.39,8.7
17.82,9.2
18.27,9.68
16.94,8.2
16.47,7.72
17.4,8.68
17.81,9.16
18.25,9.68
16.92,8.18
16.47,7.68
17.4,8.62
17.86,9.14
18.3,9.63
16.92,8.12
16.43,7.63
17.4,8.62
17.85,9.13
18.28,9.62
16.94,8.14
16.46,7.64
17.4,9.3
17.4,8.98
17.4,8.6
17.4,8.62
17.4,8.6
17.4,8.62
17.4,8.56
17.88,9.06
18.32,9.56
16.96,8.06
16.48,7.56
17.4,8.56
17.85,9.06
18.29,9.56
16.93,8.06
16.46,7.56
